seed,family,u_in,h0,inlet,outlet,cfl_init,n_iter,converged,r0_ratio
50,pins,0.516226312882442,0.0020454581077404524,south,east,16.0,20,True,1.0
57,uniform,1.2429974500544194,0.0008819281865481398,north,north,1.0,11,True,1.0
50,pins,0.516226312882442,0.0020454581077404524,south,east,1.0,21,True,1.0
50,pins,0.516226312882442,0.0020454581077404524,south,east,2.0,30,True,1.0
60,sin2d,0.11781308162925365,0.00031935053393915264,east,south,2.0,5,True,1.0
60,sin2d,0.11781308162925365,0.00031935053393915264,east,south,4.0,4,True,1.0
60,sin2d,0.11781308162925365,0.00031935053393915264,east,south,8.0,4,True,1.0
60,sin2d,0.11781308162925365,0.00031935053393915264,east,south,16.0,3,True,1.0
58,uturn,0.20714252742994996,0.002274860993104405,west,west,16.0,9,True,1.0
60,sin2d,0.11781308162925365,0.00031935053393915264,east,south,1.0,5,True,1.0
59,pins,0.1419539121600244,0.002009960038229359,north,west,4.0,7,True,1.0
59,pins,0.1419539121600244,0.002009960038229359,north,west,8.0,6,True,1.0
59,pins,0.1419539121600244,0.002009960038229359,north,west,1.0,9,True,1.0
59,pins,0.1419539121600244,0.002009960038229359,north,west,2.0,8,True,1.0
50,pins,0.516226312882442,0.0020454581077404524,south,east,4.0,36,True,1.0
50,pins,0.516226312882442,0.0020454581077404524,south,east,8.0,34,True,1.0
59,pins,0.1419539121600244,0.002009960038229359,north,west,16.0,5,True,1.0
55,blobs,0.19235141271344694,0.002227239224310328,south,east,1.0,25,True,1.0
58,uturn,0.20714252742994996,0.002274860993104405,west,west,4.0,8,True,1.0
58,uturn,0.20714252742994996,0.002274860993104405,west,west,8.0,85,True,1.0
64,uturn,0.12175642857057313,0.0010010617876043285,west,west,1.0,8,True,1.0
64,uturn,0.12175642857057313,0.0010010617876043285,west,west,2.0,7,True,1.0
64,uturn,0.12175642857057313,0.0010010617876043285,west,west,4.0,6,True,1.0
64,uturn,0.12175642857057313,0.0010010617876043285,west,west,8.0,5,True,1.0
64,uturn,0.12175642857057313,0.0010010617876043285,west,west,16.0,5,True,1.0
63,grf,0.1802586758098423,0.002946999916734901,north,west,1.0,15,True,1.0
55,blobs,0.19235141271344694,0.002227239224310328,south,east,8.0,11,True,1.0
55,blobs,0.19235141271344694,0.002227239224310328,south,east,16.0,9,True,1.0
63,grf,0.1802586758098423,0.002946999916734901,north,west,2.0,12,True,1.0
63,grf,0.1802586758098423,0.002946999916734901,north,west,4.0,9,True,1.0
63,grf,0.1802586758098423,0.002946999916734901,north,west,8.0,8,True,1.0
63,grf,0.1802586758098423,0.002946999916734901,north,west,16.0,8,True,1.0
55,blobs,0.19235141271344694,0.002227239224310328,south,east,2.0,17,True,1.0
55,blobs,0.19235141271344694,0.002227239224310328,south,east,4.0,79,True,1.0
62,grf,1.036837543757788,0.001678396474991809,north,north,1.0,19,True,1.0
62,grf,1.036837543757788,0.001678396474991809,north,north,2.0,17,True,1.0
62,grf,1.036837543757788,0.001678396474991809,north,north,4.0,23,True,1.0
62,grf,1.036837543757788,0.001678396474991809,north,north,8.0,31,True,1.0
66,blobs,0.12442003855971957,0.0014789019645222948,south,south,2.0,7,True,1.0
66,blobs,0.12442003855971957,0.0014789019645222948,south,south,4.0,6,True,1.0
66,blobs,0.12442003855971957,0.0014789019645222948,south,south,8.0,6,True,1.0
66,blobs,0.12442003855971957,0.0014789019645222948,south,south,16.0,5,True,1.0
67,pins,0.46634781782294316,0.000401845914159999,east,north,1.0,7,True,1.0
67,pins,0.46634781782294316,0.000401845914159999,east,north,2.0,6,True,1.0
62,grf,1.036837543757788,0.001678396474991809,north,north,16.0,26,True,1.0
66,blobs,0.12442003855971957,0.0014789019645222948,south,south,1.0,8,True,1.0
67,pins,0.46634781782294316,0.000401845914159999,east,north,4.0,6,True,1.0
67,pins,0.46634781782294316,0.000401845914159999,east,north,8.0,5,True,1.0
67,pins,0.46634781782294316,0.000401845914159999,east,north,16.0,5,True,1.0
65,sin2d,0.3073988476189085,0.0009893351338213254,west,east,1.0,8,True,1.0
65,sin2d,0.3073988476189085,0.0009893351338213254,west,east,2.0,7,True,1.0
65,sin2d,0.3073988476189085,0.0009893351338213254,west,east,4.0,9,True,1.0
65,sin2d,0.3073988476189085,0.0009893351338213254,west,east,8.0,9,True,1.0
65,sin2d,0.3073988476189085,0.0009893351338213254,west,east,16.0,10,True,1.0
68,grf,0.7520949604199012,0.0021156680583504363,east,north,1.0,10,True,1.0
68,grf,0.7520949604199012,0.0021156680583504363,east,north,2.0,9,True,1.0
68,grf,0.7520949604199012,0.0021156680583504363,east,north,16.0,6,True,1.0
69,uniform,1.334569093869224,0.0010091908181188711,north,south,1.0,12,True,1.0
68,grf,0.7520949604199012,0.0021156680583504363,east,north,4.0,8,True,1.0
68,grf,0.7520949604199012,0.0021156680583504363,east,north,8.0,8,True,1.0
69,uniform,1.334569093869224,0.0010091908181188711,north,south,2.0,10,True,1.0
69,uniform,1.334569093869224,0.0010091908181188711,north,south,4.0,11,True,1.0
70,serpentine,0.2625294191797788,0.001588280140572009,east,north,16.0,7,True,1.0
72,blobs,0.2000419700647051,0.00030464662935121665,south,north,1.0,6,True,1.0
70,serpentine,0.2625294191797788,0.001588280140572009,east,north,1.0,11,True,1.0
70,serpentine,0.2625294191797788,0.001588280140572009,east,north,2.0,10,True,1.0
72,blobs,0.2000419700647051,0.00030464662935121665,south,north,8.0,4,True,1.0
72,blobs,0.2000419700647051,0.00030464662935121665,south,north,16.0,3,True,1.0
72,blobs,0.2000419700647051,0.00030464662935121665,south,north,2.0,5,True,1.0
72,blobs,0.2000419700647051,0.00030464662935121665,south,north,4.0,4,True,1.0
73,pins,0.2235706241311621,0.0006032381405407532,east,north,4.0,6,True,1.0
73,pins,0.2235706241311621,0.0006032381405407532,east,north,8.0,5,True,1.0
73,pins,0.2235706241311621,0.0006032381405407532,east,north,1.0,7,True,1.0
73,pins,0.2235706241311621,0.0006032381405407532,east,north,2.0,7,True,1.0
69,uniform,1.334569093869224,0.0010091908181188711,north,south,8.0,10,True,1.0
69,uniform,1.334569093869224,0.0010091908181188711,north,south,16.0,9,True,1.0
70,serpentine,0.2625294191797788,0.001588280140572009,east,north,4.0,9,True,1.0
70,serpentine,0.2625294191797788,0.001588280140572009,east,north,8.0,7,True,1.0
73,pins,0.2235706241311621,0.0006032381405407532,east,north,16.0,5,True,1.0
74,sin2d,0.758616133537,0.0009950438157859181,south,north,1.0,9,True,1.0
74,sin2d,0.758616133537,0.0009950438157859181,south,north,2.0,8,True,1.0
74,sin2d,0.758616133537,0.0009950438157859181,south,north,4.0,7,True,1.0
77,uniform,0.20763753279078173,0.001067316468393641,south,east,1.0,8,True,1.0
77,uniform,0.20763753279078173,0.001067316468393641,south,east,2.0,7,True,1.0
